Mon Apr  5 19:13:09 2021    output.prof

         253110579 function calls (246500929 primitive calls) in 208.645 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      635    0.012    0.000    0.443    0.001 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.440    0.440 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/scipy/stats/distributions.py:8(<module>)
    72339    0.249    0.000    0.426    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/managers.py:655(_consolidate_check)
  1712986    0.421    0.000    0.421    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/internals/blocks.py:233(mgr_locs)
   298690    0.378    0.000    0.378    0.000 {method 'remove' of 'list' objects}
   599923    0.267    0.000    0.371    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/common.py:329(apply_if_callable)
   896040    0.361    0.000    0.361    0.000 {built-in method pandas._libs.missing.checknull}
   298682    0.356    0.000    0.356    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/warnings.py:437(__init__)
   896042    0.346    0.000    0.346    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/generic.py:365(_get_axis_number)
   307903    0.239    0.000    0.341    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1733(pandas_dtype)
   298680    0.302    0.000    0.336    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:399(maybe_upcast_datetimelike_array)
  785/782    0.002    0.000    0.309    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
   597360    0.301    0.000    0.301    0.000 {pandas._libs.algos.ensure_int64}
  1197283    0.301    0.000    0.301    0.000 {pandas._libs.lib.item_from_zerodim}
      635    0.014    0.000    0.300    0.000 <frozen importlib._bootstrap_external>:969(get_data)
   144681    0.294    0.000    0.294    0.000 {built-in method numpy.arange}
   597365    0.280    0.000    0.280    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:429(__init__)
  145/144    0.001    0.000    0.280    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
